english,spanish
mood,estado animico
dad's,papá
Bianca,Bianca
total,total
crap,tonterías
crying,llorando
Paige,Paige
K. or 'k,K. o 'K
belong,pertenecer
lay,poner
partner,compañero
trick,truco
pressure,presión
ohh,oh
arm,brazo
dressed,vestido
cup,taza
lies,mentiras
bus,autobús
taste,gusto
neck,cuello
south,sur
something's,algunas cosas
nurse,enfermera
raise,elevar
land,tierra
cross,cruz
lots,un montón
mister,señor
carry,llevar
group,grupo
whoever,quien
Eddie,Eddie
drinking,Bebiendo
they'd,ellos
breaking,rotura
file,expediente
lock,cerrar
computer,computadora
yo,yo
Rebecca,Rebecca
wine,vino
closed,cerrado
writing,escritura
spot,lugar
paying,pago
study,estudiar
assume,asumir
asleep,dormido
man's,hombre
turning,torneado
legal,legal
justice,justicia
Viki,Viki
Chandler,Velero
bedroom,dormitorio
shower,ducha
Nikolas,Nikolas
camera,cámara
fill,llenar
reasons,razones
forty,cuarenta
bigger,más grande
nope,no
keys,llaves
Starr,Estrella
breath,aliento
doctors,doctores
pants,pantalones
freak,fenómeno
level,nivel
French,Francés
movies,películas
gee,Caramba
Monica,Mónica
action,acción
area,área
folks,amigos
Steve,Steve
cream,crema
ugh,puaj
continue,Seguir
focus,enfoque
wild,salvaje
truly,realmente
Jill or jill,Jill o Jill
desk,escritorio
convince,convencer
client,cliente
threw,tiró
Taylor,Taylor
band,banda
hurts,duele
Charles,Charles
spending,gasto
Neil,Neil
field or Field,campo o campo
allow,permitir
grand,grandioso
answers,respuestas
shirt,camisa
chair,silla
Christ or christ,Cristo o Cristo
allowed,permitió
rough,bruto
doin,hacer
sees,visión
government,gobierno
Harry,Harry
ought,debería
empty,vacío
round,redondo
lights,luces
insane,loco
hall or Hall,salón o salón
hat,sombrero
bastard,bastardo
wind,viento
shows,espectáculos
aware,consciente
dealing,relación comercial
pack,paquete
meaning,sentido
flowers,flores
tight,apretado
hurting,doloroso
ship,Embarcacion
subject,tema
guest,invitado
mom's,de mamá
chicken,pollo
pal,camarada
match,juego
Elaine,Elaine
arrested,detenido
sun,sol
Rachel,Rachel
Salem,Salem
confused,confundido
surgery,cirugía
expecting,esperanza
deacon,diácono
Colleen,Muchacha
unfortunately,desafortunadamente
goddamn,maldito
lab,laboratorio
passed,pasó
bottle,botella
beyond,más allá de
whenever,cuando sea
pool,piscina
opinion,opinión
naked,desnudo
held,retenida
common,común
starts,empieza
jerk,imbécil
secrets,misterios
falling,descendente
played,jugó
necessary,necesario
barely,apenas
dancing,bailando
health,salud
tests,pruebas
copy,Copiar
Keri,Keri
video,video
cousin,primo
planned,planificado
Vanessa,Vanessa
dry,seco
ahem,Ejem
twelve,doce
simply,simplemente
Tess,Tess
Scott,Escocés
skin,piel
often,con frecuencia
English,inglés
fifteen,quince
spirit,espíritu
speech,discurso
names,nombramiento
issue,tema
orders,pedidos
nah,na
final,final
Michelle,Michelle
America,America
St.,S t.
results,resultados
code,código
Ned,Ned
Bonnie,Bonnie
W.,W.
believed,creído
complicated,Complicado
umm,umm
research,investigar
nowhere,en ningún lugar
escape,Escapar
biggest,más grande
restaurant,restaurante
page or Page,página o página
grateful,agradecido
usual,habitual
burn,quemar
Chicago,Chicago
Austin,Austin
address,Dirección
within,dentro de
someplace,en algún lugar
screw,tornillo
everywhere,En todas partes
train,tren
film,película
regret,lamentar
goodness,bondad
mistakes,errores
heaven or Heaven,cielo o cielo
details,detalles
responsibility,responsabilidad
suspect,sospechar
corner,esquina
hero,héroe
dumb,mudo
terrific,fantástico
Peter,Péter
mission,misión
further,más lejos
Amy,Amy
gas,gas
whoo,whoo
hole,agujero
memories,recuerdos
o'clock,en punto
Brian,Brio
truck,camión
following,siguiendo
ended,terminado
nobody's,nadie
Margo,Margo
teeth,dientes
ruined,arruinado
Hank,Madeja
split,separar
Reva,Reva
bear,llevar
airport,aeropuerto
bite,morder
smoke,fumar
Stenbeck,Stenbeck
older,más viejo
liar,mentiroso
horse,caballo
Gwen,Gwen
showing,demostración
van or Van,camioneta o camioneta
project,proyecto
cards,tarjetas
desperate,desesperado
themselves,ellos mismos
search,búsqueda
pathetic,patético
damage,daño
spoke,habló
quickly,rápidamente
scare,susto
Marah,Marah
G.,GRAMO.
beach,playa
Mia,Desaparecido en combate
brown or Brown,marrón o marrón
afford,solventar
vote,votar
settle,asentarse
gold,oro
re or 're,re o 're
mentioned,mencionado
ed or -ed,ed o -ed
due,adeudado
passion,pasión
Y. or -y,Y. o -y
stayed,permaneció
rule,regla
Friday,Viernes
checking,comprobación
tie,Corbata
hired,contratado
upon,al
rush or Rush,Rush o Rush
Tad,Un poco
heads,cabezales
concern,inquietud
blew,sopló
natural,natural
Alcazar,Alcázar
Kramer,Kramer
champagne,champán
connection,conexión
tickets,Entradas
Kate,Kate
finger,dedo
happiness,felicidad
form,forma
saving,ahorro
kissing,besos
Martin,Martín
hated,odiado
personally,personalmente
suggest,sugerir
prepared,preparado
build,construir
leg,pierna
onto,sobre
leaves,hojas
downstairs,abajo
ticket,boleto
it'd,lo hicieron
taught,enseñó
loose,suelto
holy,santo
staff,personal
sea,mar
Asa,Como un
planet,planeta
duty,deber
convinced,convencido
throwing,lanzamiento
defense,defensa
Harvey,Harvey
kissed,besado
legs,piernas
Dave,Dave
according,de acuerdo a
loud,alto
practice,práctica
Andy,Andy
Jess,Cadena
Saturday,sábado
Colin,Colin
bright or Bright,brillante o brillante
Amanda,Amanda
Fraser,Fraser
F.,F.
babies,bebés
army,ejército
where'd,donde D
warning,advertencia
miracle,milagro
carrying,que lleva
flying,volador
Caleb,Caleb
blind,ciego
queen,reina
ugly,feo
shopping,compras
hates,odios
someone's,de alguien
Seth,Seth
monster,monstruo
sight,visión
vampire,vampiro
Rosanna,Rosanna
bride,novia
coat,Saco
account,cuenta
states,estados
clearly,claramente
celebrate,celebrar
Nicole,Nicole
brilliant,brillante
wanting,falto
Allison,Allison
add,agregar
moon,luna
Forrester,Forrester
lips,labios
custody,custodia
center,centro
screwed,atornillado
buying,comprar
size,Talla
toast,tostada
thoughts,pensamientos
Isabella,Isabela
student,alumno
stories,cuentos
however,sin embargo
professional,profesional
stars,estrellas
reality,la realidad
Jimmy or jimmy,Jimmy o Jimmy
birth,nacimiento
Lexie,Lexie
attitude,actitud
advantage,ventaja
grandfather,abuelo
Sami,Sami
sold,vendido
opened,abrió
Lily,Lirio
grandma,abuela
beg,mendigar
Edward,Eduardo
changes,cambios
Diego,Diego
Cole,Col
someday,algún día
grade,calificación
cheese,queso
roof,techo
Kenny,Kenny
Bobby or bobby,Bobby o Bobby
pizza,pizza
brothers,hermanos
X. or x,X. o X
signed,firmado
bird,pájaro
ahh,ah
marrying,casarse
powerful,poderoso
grown,crecido
grandmother,abuela
fake,falso
opening,apertura
Sally,Salida
Stephanie,Stephanie
expected,esperado
eventually,finalmente
must've,debe
ideas,ideas
exciting,emocionante
covered,cubierto
Parker,Parker
de,Delaware
familiar,familiar
bomb,bomba
bout,combate
television,televisión
harmony or Harmony,armonía o armonía
color,color
heavy,pesado
schedule,calendario
records,registros
H.,H.
dollar,dólar
capable,capaz
master,Maestro
numbers,números
Toby,Toby
practically,prácticamente
including,incluido
correct,correcto
clue,clave
forgotten,olvidado
immediately,inmediatamente
appointment,cita
social,social
nature,naturaleza
ú,Ú
deserves,merece
west or West,oeste o oeste
Blake,Beque
teacher,profesor
threat,amenaza
Frankie,Frankie
bloody,sangriento
lonely,solitaria
Kelly,Kelly
ordered,ordenado
shame,verguenza
Brittany,Bretaña
local,local
jacket,chaqueta
hook,gancho
destroyed,destruido
scary,aterrador
loser,perdedor
investigation,investigación
above,arriba
Jamal,Jamal
invite,invitar
shooting,tiroteo
merry,alegre
port,Puerto
precious,precioso
lesson,lección
Roy,Roy
criminal,delincuente
growing,creciente
caused,causado
victim,víctima
professor,profesor
followed,seguido
funeral,funeral
nothing's,Nada es
dean,decano
considering,considerando
burning,incendio
couch,sofá
strength,fuerza
harder,más difícil
loss,pérdida
view,vista
Gia,Gia
beauty,belleza
sisters,hermanas
everybody's,de todos
several,varios
pushed,empujado
Nicholas,Nicholas
written,escrito
somebody's,de alguien
shock,choque
pushing,emprendedor
heat,calor
chocolate,chocolate
greatest,mejor
Holden,Hábil
miserable,miserable
Corinthos,Corintio
nightmare,pesadilla
energy,energía
brings,trayera
Zander,Zander
character,personaje
became,convertirse
famous,famoso
enemy,enemigo
crash,choque
chances,posibilidades
sending,enviando
recognize,reconocer
healthy,saludable
boring,aburrido
feed,alimento
engaged,comprometido
Sarah,Sarah
percent,por ciento
headed,con membrete
Brandon,Brandon
lines,líneas
treated,tratado
purpose,objetivo
north or North,norte o norte
knife,cuchillo
rights,derechos
drag,arrastrar
San,San
fan,admirador
badly,gravemente
speed,velocidad
Santa,Papa Noel
hire,contratar
curious,curioso
paint,pintar
pardon,indulto
Jackson,Jackson
built,construido
behavior,comportamiento
closet,armario
candy or Candy,dulces o dulces
Helena,Helena
warn,advertir
gorgeous,precioso
post,correo
