,english,spanish
776,vampire,vampiro
777,Rosanna,Rosanna
778,bride,novia
779,coat,Saco
780,account,cuenta
781,states,estados
782,clearly,claramente
783,celebrate,celebrar
784,Nicole,Nicole
785,brilliant,brillante
786,wanting,falto
787,Allison,Allison
788,add,agregar
789,moon,luna
790,Forrester,Forrester
791,lips,labios
792,center,centro
793,screwed,atornillado
794,buying,comprar
795,size,Talla
796,toast,tostada
797,thoughts,pensamientos
798,Isabella,Isabela
799,student,alumno
800,stories,cuentos
801,however,sin embargo
802,stars,estrellas
803,reality,la realidad
804,Jimmy or jimmy,Jimmy o Jimmy
805,birth,nacimiento
806,Lexie,Lexie
807,attitude,actitud
808,advantage,ventaja
809,grandfather,abuelo
810,Sami,Sami
811,sold,vendido
812,opened,abrió
813,Lily,Lirio
814,grandma,abuela
815,beg,mendigar
816,Edward,Eduardo
817,changes,cambios
818,Diego,Diego
819,Cole,Col
820,someday,algún día
821,grade,calificación
822,cheese,queso
823,roof,techo
824,Kenny,Kenny
825,Bobby or bobby,Bobby o Bobby
826,pizza,pizza
827,brothers,hermanos
828,X. or x,X. o X
829,signed,firmado
830,bird,pájaro
831,ahh,ah
832,marrying,casarse
833,powerful,poderoso
834,grown,crecido
835,grandmother,abuela
836,fake,falso
837,opening,apertura
838,Sally,Salida
839,Stephanie,Stephanie
840,expected,esperado
841,eventually,finalmente
842,must've,debe
843,ideas,ideas
844,exciting,emocionante
845,covered,cubierto
846,Parker,Parker
847,de,Delaware
848,familiar,familiar
849,bomb,bomba
850,bout,combate
851,television,televisión
852,harmony or Harmony,armonía o armonía
853,color,color
854,heavy,pesado
855,schedule,calendario
856,records,registros
857,H.,H.
858,dollar,dólar
859,capable,capaz
860,master,Maestro
861,Toby,Toby
862,practically,prácticamente
863,including,incluido
864,correct,correcto
865,clue,clave
866,forgotten,olvidado
867,immediately,inmediatamente
868,appointment,cita
869,social,social
870,nature,naturaleza
871,ú,Ú
872,deserves,merece
873,west or West,oeste o oeste
874,Blake,Beque
875,teacher,profesor
876,threat,amenaza
877,Frankie,Frankie
878,bloody,sangriento
879,lonely,solitaria
880,Kelly,Kelly
881,ordered,ordenado
882,shame,verguenza
883,Brittany,Bretaña
884,local,local
885,jacket,chaqueta
886,hook,gancho
887,destroyed,destruido
888,scary,aterrador
889,loser,perdedor
890,investigation,investigación
891,above,arriba
892,Jamal,Jamal
893,invite,invitar
894,shooting,tiroteo
895,merry,alegre
896,port,Puerto
897,precious,precioso
898,lesson,lección
899,Roy,Roy
900,criminal,delincuente
901,growing,creciente
902,caused,causado
903,victim,víctima
904,professor,profesor
905,followed,seguido
906,funeral,funeral
907,nothing's,Nada es
908,dean,decano
909,considering,considerando
910,burning,incendio
911,strength,fuerza
912,harder,más difícil
913,loss,pérdida
914,view,vista
915,Gia,Gia
916,beauty,belleza
917,sisters,hermanas
918,everybody's,de todos
919,several,varios
920,pushed,empujado
921,Nicholas,Nicholas
922,written,escrito
923,somebody's,de alguien
924,shock,choque
925,pushing,emprendedor
926,heat,calor
927,chocolate,chocolate
928,greatest,mejor
929,Holden,Hábil
930,miserable,miserable
931,Corinthos,Corintio
932,nightmare,pesadilla
933,energy,energía
934,brings,trayera
935,Zander,Zander
936,character,personaje
937,became,convertirse
938,famous,famoso
939,enemy,enemigo
940,crash,choque
941,chances,posibilidades
942,sending,enviando
943,recognize,reconocer
944,healthy,saludable
945,boring,aburrido
946,feed,alimento
947,engaged,comprometido
948,Sarah,Sarah
949,percent,por ciento
950,headed,con membrete
951,Brandon,Brandon
952,lines,líneas
953,treated,tratado
954,purpose,objetivo
955,north or North,norte o norte
956,knife,cuchillo
957,rights,derechos
958,drag,arrastrar
959,fan,admirador
960,badly,gravemente
961,speed,velocidad
962,Santa,Papa Noel
963,hire,contratar
964,curious,curioso
965,paint,pintar
966,pardon,indulto
967,Jackson,Jackson
968,built,construido
969,behavior,comportamiento
970,closet,armario
971,candy or Candy,dulces o dulces
972,Helena,Helena
973,warn,advertir
974,gorgeous,precioso
975,post,correo
